name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
Eternal of Harsh Truths||Hour of Devastation||HOU||430723||Creature — Zombie Cleric||1||3||||{2}{U}||3||Izzy||#_"If creating the Eternals was Bolas's plan here, what is his plan for the Eternals?"£—Jace Beleren_#||U||||34||U||5||£6/27/2017 : An ability that triggers when something “attacks and isn’t blocked” triggers in the declare blockers step after blockers are declared if (1) that creature is attacking and (2) no creatures are declared to block it. It will trigger even if that creature was put onto the battlefield attacking rather than having been declared as an attacker in the declare attackers step.£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 2 #_(Whenever this creature becomes blocked, defending player loses 2 life.)_#£Whenever Eternal of Harsh Truths attacks and isn't blocked, draw a card.||||||||||1||True||||34||逆言永生者||逆言永生者||Éternel des Vérités cruelles||Verewigter des Untergangs||Eterno delle Dure Verità||厳しい事実の永遠衆||Eterno das Duras Verdades||Вековечный Суровой Правды||Eterno de las verdades amargas||가혹한 진실의 영생자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Farm // Market||Hour of Devastation||HOU||430837||Instant // Sorcery||||||||{2}{W} // {2}{U}||3 // 3||Victor Adame Minguez // Victor Adame Minguez||||W // U||||148||U // U||5||£4/18/2017 : Split cards with aftermath have a new frame treatment—the half you can cast from your hand is oriented the same as other cards you’d cast from your hand, while the half you can cast from your graveyard is a traditional split card half. This frame treatment is for your convenience and has no rules significance.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : All split cards have two card faces on a single card, and you put a split card onto the stack with only the half you’re casting. The characteristics of the half of the card you didn’t cast are ignored while the spell is on the stack. For example, if an effect prevents you from casting green spells, you can cast Destined of Destined // Lead, but not Lead.£4/18/2017 : Each split card is a single card. For example, if you discard one, you’ve discarded one card, not two. If an effect counts the number of instant and sorcery cards in your graveyard, Destined // Lead counts once, not twice.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : Each split card has two names. If an effect instructs you to choose a card name, you may choose one, but not both.£4/18/2017 : While not on the stack, the characteristics of a split card are the combination of its two halves. For example, Destined // Lead is a green and black card, it is both an instant card and a sorcery card, and its converted mana cost is 6. This means that if an effect allows you to cast a card with converted mana cost 2 from your hand, you can’t cast Destined. This is a change from the previous rules for split cards.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If you cast the first half of a split card with aftermath during your turn, you’ll have priority immediately after it resolves. You can cast the half with aftermath from your graveyard before any player can take any other action if it’s legal for you to do so.£4/18/2017 : If another effect allows you to cast a split card with aftermath from any zone other than a graveyard, you can’t cast the half with aftermath.<tr class="post oddItem" style="background-color: rgba(255,255,366, 0.08);">£4/18/2017 : If another effect allows you to cast a split card with aftermath from a graveyard, you may cast either half. If you cast the half that has aftermath, you’ll exile the card if it would leave the stack.£4/18/2017 : A spell with aftermath cast from a graveyard will always be exiled afterward, whether it resolves, it’s countered, or it leaves the stack in some other way.||||Destroy target attacking or blocking creature.£ // £Aftermath #_(Cast this spell only from your graveyard. Then exile it.)_#£Draw two cards, then discard two cards.||||||||||1||True||||148||归田 // 市集||歸田 // 市集||Exploitation // Marché||Feld // Markt||Raccolto // Mercato||農場 // 市場||Plantar // Vender||Ферма // Базар||Labrar // Vender||농장 // 시장||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||WU||True||||||||||||||||||||||||||||
Feral Prowler||Hour of Devastation||HOU||430804||Creature — Cat||1||3||||{1}{G}||2||Ben Wootten||#_Once favored companions, many cats were left to fend for themselves._#||G||||115||C||5||||||When Feral Prowler dies, draw a card.||||||||||1||True||||115||野性游掠者||野性遊掠者||Rôdeur sauvage||Ausgehungerter Streuner||Predatore Feroce||残忍な野猫||Espreitador Feral||Одичавшая Охотница||Rondador salvaje||야생의 배회자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Fervent Paincaster||Hour of Devastation||HOU||430780||Creature — Human Wizard||3||1||||{2}{R}||3||Matt Stewart||#_"Everyone here is a honed fighter. We'll respond the only way we know how."_#||R||||91||U||5||£4/18/2017 : You can’t exert a creature unless an effect allows you to do so. Similar effects that “tap and freeze” a creature (such as that of Decision Paralysis) don’t exert that creature.£4/18/2017 : If an exerted creature is already untapped during your next untap step (most likely because it had vigilance or an effect untapped it), exert’s effect preventing it from untapping expires without having done anything.£4/18/2017 : If you gain control of another player’s creature until end of turn and exert it, it will untap during that player’s untap step.£6/27/2017 : Some cards in the Hour of Devastation set let you exert a creature as a cost to activate one of its abilities. You can exert it to pay that cost even if you’ve already exerted it earlier in the turn. Exerting it multiple times will keep it tapped only during your next untap step.||||{T}: Fervent Paincaster deals 1 damage to target player.£{T}, Exert Fervent Paincaster: It deals 1 damage to target creature. #_(An exerted creature won't untap during your next untap step.)_#||||||||||1||True||||91||狂热致痛师||狂熱致痛師||Lancedouleur fervente||Inbrünstige Schmerzmagierin||Scagliadolore Fervente||熱烈の苦悶術師||Conjuradora de Dor Fervorosa||Пылкая Волшебница Боли||Causatormento ferviente||열렬한 고통술사||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Firebrand Archer||Hour of Devastation||HOU||430781||Creature — Human Archer||2||1||||{1}{R}||2||John Stanko||#_A word of vengeance, and her arrows awaken in flame._#||R||||92||C||5||£6/27/2017 : Firebrand Archer’s ability will resolve before the spell that caused it to trigger. The ability will resolve even if that spell is countered.£6/27/2017 : In a Two-Headed Giant game, Firebrand Archer’s ability causes it to deal a total of 2 damage to the opposing team.||||Whenever you cast a noncreature spell, Firebrand Archer deals 1 damage to each opponent.||||||||||1||True||||92||焰箭弓手||焰箭弓手||Archère au brandon||Flammenpfeil-Bogenschützin||Arciera Aizzatrice||火付け射手||Arqueira Agitadora||Лучница Пожаров||Arquera flamígera||불화살 궁수||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Forest||Hour of Devastation||HOU||430878||Basic Land — Forest||||||||||0||Yeong-Hao Han||||L||{G}||189||C||5||||1||{G}||||||||||366||False||||189||树林||樹林||Forêt||Wald||Foresta||森||Floresta||Лес||Bosque||숲||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Fraying Sanity||Hour of Devastation||HOU||430724||Enchantment — Aura Curse||||||||{2}{U}||3||Ryan Alexander Lee||#_Those wound tightest are first to unravel._#||U||||35||R||5||£6/27/2017 : Fraying Sanity’s triggered ability counts the number of cards that were put into the enchanted player’s graveyard during the turn, even if Fraying Sanity wasn’t on the battlefield at the time those cards were put there, and even if those cards have left that graveyard.£6/27/2017 : The value of X is determined only as Fraying Sanity’s triggered ability resolves. For example, if three Fraying Sanity Auras are attached to one player who had four cards put into his or her graveyard this turn, X will be four for the first ability to resolve, eight for the second, and sixteen for the third.||||Enchant player£At the beginning of each end step, enchanted player puts the top X cards of his or her library into his or her graveyard, where X is the number of cards put into that graveyard from anywhere this turn.||||||||||1||True||||35||崩碎心智||崩碎心智||Lucidité effilochée||Zersetzung des Verstandes||Strappare il Senno||正気減らし||Sanidade Corroída||Износ Разума||Cordura desvanecida||마모되는 이성||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Frilled Sandwalla||Hour of Devastation||HOU||430805||Creature — Lizard||1||1||||{G}||1||Zezhou Chen||#_It basks atop the rubble of Rhonas's monument, which still pulses with latent power._#||G||||116||C||5||||||{1}{G}: Frilled Sandwalla gets +2/+2 until end of turn. Activate this ability only once each turn.||||||||||1||True||||116||皱褶沙德瓦拉||皺褶沙德瓦拉||Agame des sables à jabots||Sandkrageneidechse||Lucertola Sabbiosa dal Collarino||エリマキサンドワラ||Walla-d'areia Franjado||Плащеносная Сандвалла||Arenaiguana crestada||목지느러미 샌드월라||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Frontline Devastator||Hour of Devastation||HOU||430782||Creature — Zombie Minotaur Warrior||3||3||||{3}{R}||4||Tommy Arnold||#_The God-Pharaoh's benevolence concealed the factory he created to produce an army of Eternals._#||R||||93||C||5||£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 2 #_(Whenever this creature becomes blocked, defending player loses 2 life.)_#£{1}{R}: Frontline Devastator gets +1/+0 until end of turn.||||||||||1||True||||93||前线夷毁怪||前線夷毀怪||Dévastatrice du front||Frontlinien-Zerstörerin||Devastatrice in Prima Linea||前線の壊滅者||Devastadora da Linha de Frente||Опустошитель с Передовой||Devastadora de primera línea||최전방 파괴자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Gideon's Defeat||Hour of Devastation||HOU||430702||Instant||||||||{W}||1||Kieran Yanner||#_"Gideon, how easy it must be to play the protector when you think yourself untouchable. How wrong you are."£—Nicol Bolas_#||W||||13||U||5||||||Exile target white creature that's attacking or blocking. If it was a Gideon planeswalker, you gain 5 life.||||||||||1||True||||13||基定败退||基定敗退||Défaite de Gideon||Gideons Niederlage||Sconfitta di Gideon||ギデオンの敗北||Derrota de Gideon||Поражение Гидеона||Derrota de Gideon||기디온의 패배||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
